127.0.0.1 - - [08/Mar/2018:19:38:21 -0600] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [08/Mar/2018:19:38:58 -0600] "GET /TiredFlix/Browse.jsp HTTP/1.1" 200 3343
0:0:0:0:0:0:0:1 - - [08/Mar/2018:19:39:20 -0600] "GET /TiredFlix/Browse.jsp HTTP/1.1" 200 3343
0:0:0:0:0:0:0:1 - - [08/Mar/2018:19:39:21 -0600] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [08/Mar/2018:19:39:24 -0600] "GET /TiredFlix/BrowseByCategoryServlet?Category= HTTP/1.1" 500 1574
0:0:0:0:0:0:0:1 - - [08/Mar/2018:19:40:17 -0600] "GET /TiredFlix/js/addToCart.js HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [08/Mar/2018:19:40:17 -0600] "GET /TiredFlix/BrowseAlphabeticallyServlet?firstCharacter= HTTP/1.1" 200 709081
0:0:0:0:0:0:0:1 - - [08/Mar/2018:19:40:17 -0600] "GET /TiredFlix/moviePosters/poster7.jpg HTTP/1.1" 200 219018
0:0:0:0:0:0:0:1 - - [08/Mar/2018:19:40:17 -0600] "GET /TiredFlix/images/logo2.png HTTP/1.1" 200 46856
0:0:0:0:0:0:0:1 - - [08/Mar/2018:19:40:17 -0600] "GET /TiredFlix/moviePosters/poster5.jpg HTTP/1.1" 200 245662
0:0:0:0:0:0:0:1 - - [08/Mar/2018:19:40:17 -0600] "GET /TiredFlix/moviePosters/poster1.jpg HTTP/1.1" 200 202825
0:0:0:0:0:0:0:1 - - [08/Mar/2018:19:40:17 -0600] "GET /TiredFlix/moviePosters/poster2.jpg HTTP/1.1" 200 75155
0:0:0:0:0:0:0:1 - - [08/Mar/2018:19:40:17 -0600] "GET /TiredFlix/moviePosters/poster9.jpg HTTP/1.1" 200 1261964
0:0:0:0:0:0:0:1 - - [08/Mar/2018:19:40:17 -0600] "GET /TiredFlix/moviePosters/poster6.jpg HTTP/1.1" 200 59264
0:0:0:0:0:0:0:1 - - [08/Mar/2018:19:40:17 -0600] "GET /TiredFlix/moviePosters/poster4.jpg HTTP/1.1" 200 161124
0:0:0:0:0:0:0:1 - - [08/Mar/2018:19:40:17 -0600] "GET /TiredFlix/moviePosters/poster0.jpg HTTP/1.1" 200 58275
0:0:0:0:0:0:0:1 - - [08/Mar/2018:19:40:17 -0600] "GET /TiredFlix/moviePosters/poster3.jpg HTTP/1.1" 200 567849
0:0:0:0:0:0:0:1 - - [08/Mar/2018:19:40:17 -0600] "GET /TiredFlix/moviePosters/poster8.jpg HTTP/1.1" 200 99201
0:0:0:0:0:0:0:1 - - [08/Mar/2018:19:40:29 -0600] "GET /TiredFlix/search.jsp HTTP/1.1" 200 5368
0:0:0:0:0:0:0:1 - - [08/Mar/2018:19:40:53 -0600] "GET /TiredFlix/CyberFlixServlet?film_title=&film_description=dinoseaur&film_rating=&film_length=0 HTTP/1.1" 200 3945
0:0:0:0:0:0:0:1 - - [08/Mar/2018:19:40:57 -0600] "GET /TiredFlix/search.jsp HTTP/1.1" 200 5368
0:0:0:0:0:0:0:1 - - [08/Mar/2018:19:41:01 -0600] "GET /TiredFlix/CyberFlixServlet?film_title=&film_description=america&film_rating=&film_length=0 HTTP/1.1" 200 3945
0:0:0:0:0:0:0:1 - - [08/Mar/2018:19:41:04 -0600] "GET /TiredFlix/search.jsp HTTP/1.1" 200 5368
0:0:0:0:0:0:0:1 - - [08/Mar/2018:19:41:09 -0600] "GET /TiredFlix/CyberFlixServlet?film_title=&film_description=american&film_rating=&film_length=0 HTTP/1.1" 200 3945
0:0:0:0:0:0:0:1 - - [08/Mar/2018:19:41:12 -0600] "GET /TiredFlix/search.jsp HTTP/1.1" 200 5368
